index,TITLE,RELEASE_YEAR,SCORE,NUMBER_OF_VOTES,DURATION,MAIN_GENRE,MAIN_PRODUCTION
1,Orion and The Dark,2/2/2024,4.6,10,1h 30m,Comedy/Adventure ,US
2,The BeeKeeper,1/12/2024,4.5,10,1h 45m,Action/Thriller,US
3,Night Swim,1/5/2024,2.8,10,1h 38m,Horror,US
4,Lift,1/12/2024,3.5,10,1h 44m,Comedy/Action,US
5,Justice League: Crisis on Infinite Earth Part One,1/9/2024,3.3,10,1h 33m,Animation,US
6,The Bricklayer,1/5/2024,3.1,10,1h 50m,Action/Thriller,US
7,Badland Hunters,1/26/2024,3,10,1h 47m,Action,US
8,Mean Girls,1/12/2024,3.8,10,2h,Musical/Comedy,US
9,Role Play,1/4/2024,3.9,10,1h 41,Action/Thriller,US
10,The Tiger's Apprentice,2/2/2024,4,10,1h 24 m,Action/Adventure,US
